FIPS,Area,Total Population,Deaths per Case Rate,Age-Adjusted Death Rate,Age-Adjusted New Case Rate,Uninsured Rate,White,Black or African American,Hispanic or Latino,American Indian or Alaska Native,Asian,Hawaiian and Other Pacific Islander
15009,"Maui County, Hawaii",329508,31.57%,129.9,411.5,6.06%,52.45%,1.85%,11.95%,2.78%,48.11%,28.76%
33011,"Hillsborough County, New Hampshire",845874,31.57%,147.1,466,6.55%,91.60%,4.32%,7.62%,0.90%,5.28%,0.15%
30049,"Lewis and Clark County, Montana",141946,31.55%,153.9,487.8,4.79%,96.33%,0.93%,3.62%,3.97%,1.35%,0.22%
22093,"St. James Parish, Louisiana",40384,31.55%,163.3,517.6,,50.71%,48.95%,1.82%,0.60%,0.53%,0.06%
55061,"Kewaunee County, Wisconsin",41126,31.55%,139.6,442.5,,98.18%,1.03%,3.39%,1.18%,0.73%,0.10%
19129,"Mills County, Iowa",28968,31.55%,166.4,527.5,,97.98%,1.17%,3.54%,1.28%,0.67%,0.16%
44005,"Newport County, Rhode Island",171286,31.54%,148.1,469.5,4.34%,92.57%,6.01%,6.07%,1.25%,2.94%,0.30%
19029,"Cass County, Iowa",26254,31.54%,177.2,561.8,,97.91%,0.96%,3.12%,0.82%,0.59%,0.67%
30051,"Liberty County, Montana",3918,31.54%,111.8,354.5,,98.06%,1.07%,0.82%,2.35%,0.87%,0.20%
55127,"Walworth County, Wisconsin",212956,31.53%,156.3,495.7,5.82%,97.07%,1.81%,11.45%,1.00%,1.43%,0.10%
17061,"Greene County, Illinois",23970,31.51%,177.9,564.5,,97.85%,1.84%,1.30%,0.58%,0.39%,0.05%
46101,"Moody County, South Dakota",12672,31.51%,124,393.5,,82.07%,2.00%,4.51%,16.98%,2.51%,0.06%
36049,"Lewis County, New York",53164,31.51%,154.8,491.3,,98.26%,1.31%,1.62%,0.80%,0.66%,0.19%
25023,"Plymouth County, Massachusetts",1061638,31.49%,155,492.2,2.42%,85.50%,13.33%,4.33%,0.84%,2.24%,0.25%
17089,"Kane County, Illinois",1033044,31.47%,136.6,434,7.75%,88.32%,7.00%,32.45%,1.60%,5.07%,0.15%
33003,"Carroll County, New Hampshire",100214,31.46%,149.3,474.5,,98.07%,1.07%,1.64%,1.09%,0.99%,0.09%
37081,"Guilford County, North Carolina",1082598,31.46%,153.1,486.6,10.50%,57.41%,37.62%,8.60%,1.64%,6.05%,0.22%
36043,"Herkimer County, New York",120278,31.46%,158.6,504.2,,97.34%,2.50%,2.41%,0.74%,0.95%,0.10%
50027,"Windsor County, Vermont",115506,31.45%,148.4,471.8,,97.67%,1.44%,1.99%,1.20%,1.44%,0.08%
56009,"Converse County, Wyoming",27502,31.45%,137,435.6,,97.16%,1.24%,8.48%,2.30%,1.07%,0.15%
41055,"Sherman County, Oregon",3740,31.44%,126.2,401.4,,96.36%,1.12%,6.31%,3.32%,1.28%,0.16%
42071,"Lancaster County, Pennsylvania",1105968,31.43%,145.4,462.6,11.58%,91.35%,6.88%,11.24%,0.88%,3.00%,0.17%
56021,"Laramie County, Wyoming",201024,31.43%,144.1,458.5,7.27%,94.47%,3.76%,15.43%,2.41%,2.31%,0.35%
49035,"Salt Lake County, Utah",2370476,31.42%,127.9,407.1,10.12%,89.72%,3.11%,18.98%,2.21%,5.73%,2.42%
06059,"Orange County, California",6373978,31.41%,129.5,412.3,8.04%,73.81%,2.89%,34.05%,1.81%,24.73%,0.78%
18015,"Carroll County, Indiana",40612,31.39%,149,474.7,,98.23%,1.64%,4.72%,0.87%,0.39%,0.08%
24047,"Worcester County, Maryland",104920,31.38%,161.6,515,,84.96%,14.03%,3.93%,0.85%,1.98%,0.17%
44009,"Washington County, Rhode Island",259678,31.38%,156.7,499.4,2.98%,95.26%,2.50%,3.54%,1.60%,2.72%,0.13%
19071,"Fremont County, Iowa",13210,31.38%,167.8,534.8,,98.38%,1.68%,3.18%,1.04%,0.64%,0.08%
34007,"Camden County, New Jersey",1046970,31.37%,166,529.1,6.90%,71.00%,23.56%,18.00%,1.34%,6.87%,0.21%
31067,"Gage County, Nebraska",43408,31.37%,158.1,504,,97.61%,1.42%,3.00%,1.52%,0.97%,0.12%
34041,"Warren County, New Jersey",219264,31.36%,159.7,509.2,4.46%,90.40%,6.99%,10.63%,0.77%,3.51%,0.17%
36009,"Cattaraugus County, New York",154084,31.36%,156.8,500,8.06%,93.85%,2.77%,2.29%,4.39%,1.19%,0.12%
36071,"Orange County, New York",802620,31.35%,151.9,484.5,4.07%,82.25%,15.46%,21.85%,1.69%,3.78%,0.21%
37129,"New Hanover County, North Carolina",451404,31.35%,147.1,469.2,8.44%,84.15%,14.56%,6.00%,1.37%,2.18%,0.24%
36075,"Oswego County, New York",235050,31.35%,170.6,544.2,5.01%,97.49%,1.92%,2.75%,1.07%,1.14%,0.10%
36053,"Madison County, New York",136032,31.35%,149.5,476.9,3.22%,96.20%,2.78%,2.41%,1.20%,1.46%,0.11%
31037,"Colfax County, Nebraska",21164,31.34%,127,405.2,,88.10%,6.63%,45.98%,4.43%,1.46%,0.71%
21023,"Bracken County, Kentucky",16800,31.34%,187.2,597.4,,98.60%,1.69%,1.82%,0.92%,0.37%,0.06%
16051,"Jefferson County, Idaho",61782,31.33%,136.8,436.6,,97.38%,0.77%,10.77%,2.21%,1.15%,0.36%
47047,"Fayette County, Tennessee",83980,31.33%,148.2,473.1,,70.95%,28.31%,3.07%,0.79%,1.01%,0.10%
37019,"Brunswick County, North Carolina",273386,31.32%,149.4,477,7.93%,88.20%,10.81%,5.03%,1.62%,1.07%,0.19%
31031,"Cherry County, Nebraska",10910,31.32%,112.9,360.5,,91.27%,1.37%,3.96%,9.62%,1.28%,0.13%
05141,"Van Buren County, Arkansas",31592,31.32%,156.9,501,,97.70%,1.40%,3.39%,2.37%,0.61%,0.06%
24021,"Frederick County, Maryland",543434,31.31%,141.6,452.3,4.39%,83.01%,12.71%,10.76%,1.12%,6.37%,0.20%
28129,"Smith County, Mississippi",28418,31.30%,148.1,473.1,,75.89%,24.16%,1.81%,0.42%,0.30%,0.06%
34009,"Cape May County, New Jersey",190526,31.30%,178.3,569.6,6.10%,93.43%,6.06%,8.32%,0.86%,1.45%,0.20%
23009,"Hancock County, Maine",110956,31.29%,156.9,501.5,,97.13%,1.43%,1.68%,1.27%,1.60%,0.08%
12053,"Hernando County, Florida",389030,31.28%,171.1,547,11.36%,91.48%,7.51%,15.34%,1.17%,2.00%,0.22%
55097,"Portage County, Wisconsin",140754,31.27%,131.1,419.2,4.05%,95.04%,1.65%,3.58%,0.95%,3.86%,0.11%
49021,"Iron County, Utah",114578,31.27%,135.9,434.6,,95.30%,1.27%,9.31%,3.26%,1.68%,0.75%
26125,"Oakland County, Michigan",2548790,31.26%,143.1,457.8,4.55%,77.37%,14.94%,4.56%,0.97%,9.18%,0.12%
21015,"Boone County, Kentucky",271936,31.26%,152.1,486.6,4.56%,92.81%,5.25%,4.49%,0.76%,3.23%,0.27%
36013,"Chautauqua County, New York",255314,31.24%,165.4,529.5,5.22%,95.66%,4.36%,7.92%,1.26%,0.99%,0.11%
31069,"Garden County, Nebraska",3748,31.24%,150,480.2,,97.87%,0.80%,6.83%,2.83%,0.37%,0.16%
22103,"St. Tammany Parish, Louisiana",529140,31.23%,154.1,493.4,7.67%,84.62%,14.06%,5.99%,1.27%,2.06%,0.13%
53073,"Whatcom County, Washington",453694,31.19%,149.7,479.9,6.83%,89.87%,2.40%,10.11%,4.99%,6.74%,0.72%
17093,"Kendall County, Illinois",263738,31.19%,152.6,489.2,3.88%,87.48%,9.25%,20.69%,0.99%,4.41%,0.16%
41017,"Deschutes County, Oregon",396506,31.18%,133.9,429.4,6.76%,96.64%,1.19%,8.40%,2.44%,2.37%,0.48%
06017,"El Dorado County, California",382370,31.18%,133.4,427.8,4.92%,92.06%,1.84%,13.44%,2.87%,6.94%,0.60%
13121,"Fulton County, Georgia",2133420,31.18%,145,465,7.91%,47.05%,45.78%,7.25%,0.87%,8.65%,0.14%
41067,"Washington County, Oregon",1200744,31.18%,130.2,417.6,5.66%,83.41%,3.82%,17.35%,2.33%,14.49%,1.17%
08119,"Teller County, Colorado",49420,31.17%,119.7,384,,96.20%,1.66%,7.84%,2.87%,1.83%,0.24%
21029,"Bullitt County, Kentucky",164434,31.17%,164,526.2,3.29%,97.35%,2.18%,2.51%,1.08%,1.02%,0.11%
08014,"Broomfield County, Colorado",148224,31.16%,122.4,392.8,4.48%,90.26%,2.33%,13.00%,1.64%,8.62%,0.27%
12057,"Hillsborough County, Florida",2919524,31.16%,150.8,484,13.14%,76.29%,19.98%,29.98%,1.13%,5.50%,0.30%
55039,"Fond du Lac County, Wisconsin",208308,31.15%,153,491.1,2.83%,95.07%,3.26%,5.71%,1.08%,2.17%,0.14%
42109,"Snyder County, Pennsylvania",79472,31.15%,139.9,449.1,,97.57%,1.99%,2.32%,0.55%,0.90%,0.12%
19015,"Boone County, Iowa",53430,31.13%,160.4,515.2,,97.59%,1.80%,2.86%,0.94%,0.84%,0.13%
06025,"Imperial County, California",359404,31.13%,119.4,383.6,7.83%,91.59%,3.76%,85.45%,3.31%,2.74%,0.37%
12055,"Highlands County, Florida",202470,31.12%,146.9,472.1,10.28%,86.70%,11.73%,21.45%,1.28%,1.96%,0.23%
38067,"Pembina County, North Dakota",13688,31.11%,141.8,455.8,,96.60%,1.04%,3.77%,3.83%,0.66%,0.07%
34015,"Gloucester County, New Jersey",604588,31.09%,167.5,538.8,4.32%,84.85%,12.83%,6.94%,0.77%,3.87%,0.16%
37179,"Union County, North Carolina",476534,31.07%,149,479.5,8.71%,82.71%,13.72%,11.69%,1.27%,4.41%,0.16%
46127,"Union County, South Dakota",33622,31.06%,157,505.5,,95.91%,1.99%,4.00%,1.65%,1.94%,0.21%
26113,"Missaukee County, Michigan",30104,31.02%,143.2,461.6,,97.93%,1.10%,3.24%,1.77%,0.90%,0.07%
36017,"Chenango County, New York",94440,31.01%,159.9,515.6,,97.89%,1.69%,2.34%,0.95%,0.92%,0.06%
38059,"Morton County, North Dakota",66582,31.01%,158.7,511.8,,93.49%,2.13%,4.20%,5.54%,0.89%,0.21%
08063,"Kit Carson County, Colorado",14174,31.00%,97,312.9,,96.50%,1.41%,19.12%,2.74%,1.04%,0.35%
31185,"York County, Nebraska",28250,31.00%,144.7,466.8,,96.80%,2.20%,5.17%,1.42%,1.03%,0.13%
19011,"Benton County, Iowa",51150,30.97%,159.6,515.3,,98.26%,1.51%,1.73%,0.70%,0.65%,0.08%
24025,"Harford County, Maryland",521848,30.96%,158.4,511.7,2.82%,81.17%,16.78%,4.86%,0.96%,4.09%,0.22%
19169,"Story County, Iowa",197074,30.94%,139.5,450.8,3.47%,88.33%,3.85%,3.83%,0.74%,9.04%,0.11%
08095,"Phillips County, Colorado",9060,30.94%,136.8,442.1,,97.02%,1.46%,22.76%,1.66%,0.84%,0.18%
53007,"Chelan County, Washington",158148,30.94%,145.8,471.3,9.91%,95.25%,1.41%,28.62%,3.39%,1.84%,0.49%
55125,"Vilas County, Wisconsin",46094,30.93%,156,504.3,,88.22%,0.85%,2.70%,11.52%,0.80%,0.07%
12083,"Marion County, Florida",751816,30.92%,161.9,523.6,12.42%,83.72%,14.81%,14.68%,1.18%,2.26%,0.21%
38089,"Stark County, North Dakota",67292,30.90%,134.7,435.9,,93.16%,3.66%,6.10%,3.03%,1.91%,0.19%
16085,"Valley County, Idaho",23492,30.90%,126.2,408.4,,97.81%,0.79%,4.84%,2.08%,0.90%,0.17%
48171,"Gillespie County, Texas",53450,30.90%,130.3,421.7,,97.37%,1.03%,24.39%,1.74%,0.69%,0.18%
19047,"Crawford County, Iowa",33050,30.90%,134.9,436.6,,91.76%,4.10%,29.98%,1.83%,2.93%,0.38%
37089,"Henderson County, North Carolina",232562,30.89%,144.2,466.8,10.12%,94.15%,4.40%,10.55%,1.51%,1.71%,0.30%
31093,"Howard County, Nebraska",12950,30.89%,146.3,473.6,,98.13%,0.82%,2.72%,1.05%,0.74%,0.11%
19105,"Jones County, Iowa",41292,30.88%,145,469.5,,96.36%,2.95%,2.20%,0.71%,0.80%,0.07%
38071,"Ramsey County, North Dakota",23210,30.88%,137.5,445.3,,85.71%,1.79%,3.36%,14.15%,1.28%,0.16%
13033,"Burke County, Georgia",49192,30.86%,157.7,511.1,,51.91%,47.80%,3.50%,0.98%,0.81%,0.17%
37137,"Pamlico County, North Carolina",24552,30.84%,153.6,498.1,,79.42%,19.97%,4.27%,1.39%,0.92%,0.24%
25009,"Essex County, Massachusetts",1619658,30.83%,140.6,456,3.10%,87.29%,9.45%,22.74%,1.59%,4.54%,0.29%
12105,"Polk County, Florida",1450092,30.83%,150.5,488.2,13.53%,80.58%,18.00%,25.63%,1.30%,2.45%,0.26%
16001,"Ada County, Idaho",989934,30.83%,143,463.9,8.49%,94.63%,2.13%,8.82%,1.69%,4.29%,0.53%
19097,"Jackson County, Iowa",38970,30.81%,159.1,516.4,,97.61%,1.40%,1.62%,0.75%,0.79%,0.74%
24013,"Carroll County, Maryland",345782,30.80%,152.7,495.8,3.14%,93.36%,5.00%,3.99%,0.72%,3.00%,0.14%
30107,"Wheatland County, Montana",4138,30.80%,153.5,498.4,,96.13%,1.50%,4.16%,4.30%,0.97%,0.05%
39103,"Medina County, Ohio",364940,30.79%,148.8,483.2,4.28%,96.83%,2.27%,2.51%,0.66%,1.70%,0.06%
06091,"Sierra County, California",6472,30.79%,94.7,307.6,,95.52%,1.64%,12.76%,3.80%,1.48%,0.40%
08013,"Boulder County, Colorado",661516,30.78%,119.9,389.5,5.03%,92.72%,1.92%,13.97%,1.71%,6.49%,0.22%
17167,"Sangamon County, Illinois",392686,30.78%,168.7,548.1,4.57%,84.22%,15.03%,2.48%,0.71%,2.73%,0.11%
13311,"White County, Georgia",56006,30.77%,152.5,495.6,,96.64%,2.88%,3.41%,1.32%,0.73%,0.16%
25001,"Barnstable County, Massachusetts",457992,30.75%,151.3,492,2.57%,93.69%,4.67%,3.55%,1.35%,2.18%,0.16%
46027,"Clay County, South Dakota",29934,30.74%,163.3,531.2,,91.15%,2.59%,3.29%,5.78%,3.07%,0.19%
28121,"Rankin County, Mississippi",314062,30.73%,137.2,446.4,10.54%,76.49%,22.43%,2.75%,0.59%,1.68%,0.15%
34013,"Essex County, New Jersey",1727456,30.72%,142.3,463.2,11.76%,50.68%,43.53%,23.95%,1.43%,6.76%,0.29%
12035,"Flagler County, Florida",230756,30.72%,150.9,491.2,11.15%,85.92%,12.05%,11.09%,1.03%,3.20%,0.27%
30043,"Jefferson County, Montana",24170,30.70%,160.4,522.4,,96.79%,0.83%,2.94%,3.89%,0.98%,0.22%
40073,"Kingfisher County, Oklahoma",30368,30.70%,153.3,499.3,,93.30%,2.69%,16.95%,7.09%,0.73%,0.14%
36011,"Cayuga County, New York",152496,30.70%,159.3,518.9,4.04%,94.18%,6.06%,3.14%,0.97%,1.06%,0.16%
12103,"Pinellas County, Florida",1918214,30.68%,148.1,482.7,11.26%,84.53%,12.38%,10.34%,0.98%,4.45%,0.24%
37125,"Moore County, North Carolina",199454,30.65%,145.3,474,7.42%,84.84%,13.09%,7.30%,1.92%,2.21%,0.28%
37025,"Cabarrus County, North Carolina",451608,30.65%,150.4,490.7,8.37%,73.48%,21.97%,11.26%,1.34%,5.63%,0.19%
04027,"Yuma County, Arizona",407762,30.65%,114.2,372.6,14.41%,92.93%,3.35%,65.04%,3.28%,2.32%,0.50%
19017,"Bremer County, Iowa",49976,30.65%,143.4,467.9,,97.06%,2.09%,1.85%,0.52%,1.56%,0.08%
19189,"Winnebago County, Iowa",21358,30.64%,133.3,435,,97.00%,2.38%,5.21%,0.76%,1.25%,0.06%
42091,"Montgomery County, Pennsylvania",1713106,30.64%,144.3,470.9,3.55%,81.13%,11.54%,5.65%,0.71%,9.06%,0.14%
19197,"Wright County, Iowa",25886,30.64%,131.6,429.5,,97.66%,1.65%,13.53%,1.04%,0.92%,0.22%
48087,"Collingsworth County, Texas",5304,30.64%,116.3,379.6,,88.65%,7.92%,34.92%,4.37%,1.13%,0.00%
40003,"Alfalfa County, Oklahoma",11398,30.60%,145,473.8,,90.10%,5.77%,6.30%,6.32%,0.75%,0.28%
36057,"Montgomery County, New York",99064,30.60%,165.9,542.1,,94.65%,4.80%,15.19%,1.08%,1.31%,0.25%
34017,"Hudson County, New Jersey",1449708,30.60%,125.4,409.8,12.99%,66.55%,16.62%,42.21%,1.86%,17.63%,0.34%
36045,"Jefferson County, New York",233442,30.59%,175.5,573.7,5.22%,90.50%,8.23%,7.71%,1.37%,2.66%,0.46%
42017,"Bucks County, Pennsylvania",1293076,30.59%,148.2,484.5,3.54%,89.54%,5.58%,5.90%,0.72%,6.08%,0.13%
25021,"Norfolk County, Massachusetts",1451962,30.58%,143.4,469,1.48%,78.74%,9.28%,5.19%,0.60%,13.56%,0.15%
36019,"Clinton County, New York",159686,30.58%,157.8,516.1,3.34%,93.70%,5.04%,2.96%,0.91%,1.85%,0.12%
13207,"Monroe County, Georgia",55914,30.56%,150.1,491.2,,76.12%,23.19%,2.46%,0.79%,1.23%,0.10%
13123,"Gilmer County, Georgia",62706,30.55%,154.3,505,,96.58%,1.87%,12.12%,1.44%,0.86%,0.57%
12049,"Hardee County, Florida",50654,30.55%,140,458.3,,89.79%,8.51%,44.48%,1.81%,1.50%,0.28%
36077,"Otsego County, New York",117048,30.55%,147.6,483.2,,95.50%,3.29%,3.90%,0.87%,1.90%,0.16%
19061,"Dubuque County, Iowa",198532,30.54%,148.6,486.5,3.08%,93.82%,4.85%,2.82%,0.70%,1.78%,0.74%
36007,"Broome County, New York",397366,30.54%,156.8,513.5,4.00%,88.62%,8.37%,4.60%,0.87%,5.30%,0.18%
42077,"Lehigh County, Pennsylvania",749114,30.53%,151.9,497.5,6.63%,84.30%,12.32%,27.05%,1.71%,4.50%,0.29%
12061,"Indian River County, Florida",319576,30.53%,153.4,502.5,13.05%,88.08%,10.40%,13.00%,0.96%,2.08%,0.17%
19147,"Palo Alto County, Iowa",17992,30.52%,201.2,659.2,,96.43%,2.42%,3.21%,0.99%,1.24%,0.14%
55099,"Price County, Wisconsin",28108,30.49%,156.7,513.9,,96.90%,0.99%,2.05%,1.63%,0.95%,0.95%
36069,"Ontario County, New York",224916,30.49%,158.9,521.2,2.23%,95.23%,3.91%,5.09%,0.79%,1.92%,0.12%
30047,"Lake County, Montana",62268,30.48%,145.8,478.3,,73.95%,0.85%,4.55%,30.83%,1.17%,0.31%
53029,"Island County, Washington",173714,30.48%,147.3,483.3,4.58%,89.49%,4.78%,8.51%,2.67%,7.39%,1.00%
13223,"Paulding County, Georgia",337322,30.47%,149,489,11.86%,75.32%,24.21%,7.35%,1.15%,1.91%,0.20%
49057,"Weber County, Utah",524446,30.46%,125.2,411,9.00%,94.77%,2.54%,18.71%,2.24%,2.75%,0.74%
42037,"Columbia County, Pennsylvania",129454,30.46%,152.9,502,3.59%,96.39%,2.59%,3.26%,0.65%,1.42%,0.13%
36083,"Rensselaer County, New York",322260,30.46%,159.9,525,2.55%,88.60%,9.69%,5.30%,0.80%,3.51%,0.14%
30095,"Stillwater County, Montana",17926,30.46%,147.8,485.3,,97.61%,0.74%,4.14%,2.66%,1.10%,0.18%
13135,"Gwinnett County, Georgia",1914124,30.45%,138.4,454.5,18.22%,55.56%,32.03%,21.84%,1.59%,13.92%,0.27%
42029,"Chester County, Pennsylvania",1068826,30.45%,138.8,455.9,4.82%,86.77%,7.48%,7.61%,0.76%,7.13%,0.13%
19113,"Linn County, Iowa",460598,30.44%,155.1,509.5,3.96%,90.45%,8.25%,3.56%,0.82%,3.35%,0.25%
33005,"Cheshire County, New Hampshire",152916,30.44%,149.6,491.5,4.83%,97.06%,1.40%,2.14%,0.97%,2.15%,0.12%
36035,"Fulton County, New York",106648,30.43%,164.6,540.9,,96.49%,3.27%,3.65%,0.75%,1.07%,0.12%
48157,"Fort Bend County, Texas",1645558,30.42%,116,381.3,14.00%,56.00%,22.54%,25.10%,1.15%,22.65%,0.23%
19025,"Calhoun County, Iowa",19854,30.42%,168.3,553.3,,96.64%,3.13%,2.03%,0.78%,0.57%,0.03%
13137,"Habersham County, Georgia",92062,30.42%,162.7,534.9,,91.82%,4.67%,16.46%,1.75%,2.74%,0.88%
49049,"Utah County, Utah",1318798,30.42%,118.2,388.6,8.17%,95.30%,1.43%,12.32%,1.50%,3.15%,1.83%
48453,"Travis County, Texas",2580376,30.42%,124.1,408,14.46%,81.78%,10.07%,33.55%,2.03%,8.84%,0.27%
42095,"Northampton County, Pennsylvania",625902,30.41%,157.6,518.2,3.25%,88.66%,9.08%,14.63%,0.97%,3.72%,0.20%
31019,"Buffalo County, Nebraska",100168,30.41%,147.5,485,,96.22%,2.00%,9.60%,1.31%,1.88%,0.21%
53017,"Douglas County, Washington",85876,30.41%,137.5,452.2,,94.99%,1.63%,32.89%,3.77%,2.14%,0.59%
46035,"Davison County, South Dakota",39912,30.41%,147.8,486.1,,94.29%,1.75%,3.95%,4.73%,1.28%,0.19%
29045,"Clark County, Missouri",13268,30.40%,136.2,448.1,,98.76%,1.07%,0.84%,0.90%,0.65%,0.02%
01117,"Shelby County, Alabama",446048,30.39%,128.2,421.8,5.75%,83.50%,14.29%,5.86%,0.85%,2.82%,0.12%
36093,"Schenectady County, New York",316122,30.38%,153.4,504.9,3.04%,80.75%,15.37%,7.58%,1.46%,6.27%,0.39%
19059,"Dickinson County, Iowa",35406,30.37%,160.3,527.8,,98.03%,1.24%,2.50%,0.71%,1.27%,0.08%
13187,"Lumpkin County, Georgia",66976,30.33%,155.5,512.7,,96.37%,2.46%,5.15%,1.62%,1.22%,0.24%
01107,"Pickens County, Alabama",38246,30.33%,144.9,477.8,,58.96%,40.75%,5.34%,0.58%,0.50%,0.37%
31039,"Cuming County, Nebraska",18026,30.32%,133.2,439.3,,98.07%,1.19%,10.25%,1.22%,0.75%,0.07%
37119,"Mecklenburg County, North Carolina",2230964,30.32%,137.1,452.2,12.42%,58.95%,34.82%,13.86%,1.63%,7.24%,0.22%
55073,"Marathon County, Wisconsin",276026,30.32%,141.1,465.4,5.29%,91.97%,1.70%,3.02%,1.09%,6.94%,0.13%
31153,"Sarpy County, Nebraska",381208,30.32%,147.1,485.2,4.38%,91.76%,5.94%,10.36%,1.55%,4.03%,0.33%
06079,"San Luis Obispo County, California",564848,30.29%,134.6,444.3,5.68%,92.02%,2.87%,23.39%,2.76%,5.75%,0.49%
16019,"Bonneville County, Idaho",247928,30.29%,138.8,458.3,7.65%,96.47%,1.30%,13.77%,2.35%,1.90%,0.32%
37189,"Watauga County, North Carolina",108172,30.26%,125,413.1,,96.29%,2.54%,4.05%,1.14%,1.66%,0.11%
48121,"Denton County, Texas",1812844,30.25%,125.4,414.5,12.03%,77.37%,12.59%,19.72%,1.62%,11.16%,0.27%
28073,"Lamar County, Mississippi",128444,30.25%,136.2,450.2,,76.44%,22.36%,3.09%,0.79%,1.76%,0.13%
13089,"DeKalb County, Georgia",1528764,30.22%,135.9,449.7,14.22%,37.69%,56.03%,8.50%,1.23%,7.34%,0.24%
09009,"New Haven County, Connecticut",1729670,30.22%,144.2,477.2,5.85%,79.00%,17.34%,19.60%,1.28%,5.01%,0.20%
18007,"Benton County, Indiana",17438,30.22%,152.6,505,,98.44%,1.82%,5.93%,0.80%,0.39%,0.07%
06061,"Placer County, California",809478,30.20%,135.8,449.6,4.17%,87.72%,3.06%,14.80%,2.32%,11.27%,0.74%
53035,"Kitsap County, Washington",551222,30.20%,147,486.7,4.44%,88.10%,4.98%,8.47%,3.63%,8.66%,1.90%
06085,"Santa Clara County, California",3872518,30.20%,116.4,385.4,5.08%,55.24%,3.75%,24.96%,2.05%,42.70%,0.97%
19023,"Butler County, Iowa",28668,30.19%,155.1,513.7,,98.40%,0.94%,1.58%,0.47%,1.23%,0.05%
36029,"Erie County, New York",1908472,30.19%,164.6,545.2,2.53%,81.22%,15.18%,5.89%,1.24%,4.58%,0.12%
48423,"Smith County, Texas",466958,30.18%,140.6,465.8,17.00%,79.29%,18.94%,20.35%,1.42%,2.09%,0.20%
49051,"Wasatch County, Utah",69576,30.18%,122.4,405.6,,96.87%,1.23%,14.04%,1.48%,1.67%,0.46%
40059,"Harper County, Oklahoma",6544,30.16%,143.1,474.4,,95.63%,1.47%,24.39%,4.55%,0.55%,0.24%
12069,"Lake County, Florida",767912,30.16%,157,520.6,10.83%,84.78%,13.04%,17.17%,1.25%,2.89%,0.31%
39055,"Geauga County, Ohio",190794,30.15%,140.3,465.3,9.73%,97.84%,1.71%,1.69%,0.49%,0.98%,0.04%
36027,"Dutchess County, New York",591822,30.15%,141.2,468.3,5.42%,83.43%,13.75%,13.20%,1.10%,4.45%,0.19%
08057,"Jackson County, Colorado",2758,30.11%,140.5,466.6,,96.16%,0.51%,13.49%,3.92%,0.73%,0.07%
13185,"Lowndes County, Georgia",236502,30.09%,138.9,461.6,16.84%,59.32%,39.11%,6.13%,1.07%,2.80%,0.32%
55025,"Dane County, Wisconsin",1123008,30.09%,135.7,451,3.26%,87.17%,7.33%,6.77%,1.08%,7.40%,0.16%
19085,"Harrison County, Iowa",29164,30.09%,162.2,539.1,,98.76%,0.86%,2.04%,1.04%,0.64%,0.08%
17067,"Hancock County, Illinois",35240,30.08%,142,472.1,,98.43%,1.33%,1.71%,0.79%,0.54%,0.13%
48427,"Starr County, Texas",131840,30.07%,136.7,454.6,,98.90%,0.49%,96.39%,0.52%,0.30%,0.05%
36063,"Niagara County, New York",425332,30.07%,168,558.7,2.93%,90.09%,9.17%,3.43%,1.86%,1.63%,0.14%
36121,"Wyoming County, New York",81062,30.07%,163.5,543.8,,93.41%,6.05%,3.39%,0.89%,0.73%,0.10%
48085,"Collin County, Texas",2128930,30.06%,121.3,403.5,11.51%,70.81%,12.19%,15.68%,1.37%,18.42%,0.23%
24001,"Allegany County, Maryland",136212,30.05%,159.3,530.2,5.21%,90.18%,9.84%,2.02%,0.60%,1.47%,0.16%
12015,"Charlotte County, Florida",373694,30.04%,139.8,465.4,10.97%,91.96%,6.85%,8.02%,0.93%,1.88%,0.18%
05041,"Desha County, Arkansas",22790,30.03%,164.5,547.7,,50.03%,49.26%,6.92%,0.96%,1.11%,0.18%
19003,"Adams County, Iowa",7408,30.03%,156.9,522.5,,98.16%,1.05%,1.59%,0.86%,0.84%,0.03%
36055,"Monroe County, New York",1518886,30.03%,153.2,510.2,2.65%,79.38%,17.98%,9.40%,1.00%,4.50%,0.16%
49055,"Wayne County, Utah",4972,30.03%,102,339.7,,96.98%,1.13%,6.40%,2.01%,1.41%,0.32%
34031,"Passaic County, New Jersey",1048236,30.02%,137.5,458,14.21%,77.12%,16.75%,43.05%,2.24%,6.50%,0.32%
17019,"Champaign County, Illinois",411730,30.01%,133.6,445.2,3.67%,74.52%,15.69%,6.37%,0.82%,12.07%,0.26%
34029,"Ocean County, New Jersey",1274458,30.00%,160.7,535.6,4.56%,93.88%,4.40%,9.57%,0.63%,2.50%,0.10%
37149,"Polk County, North Carolina",38656,30.00%,127.4,424.7,,94.02%,5.04%,5.98%,1.32%,1.27%,0.07%
13067,"Cobb County, Georgia",1532298,30.00%,141.1,470.4,13.21%,64.47%,30.57%,13.41%,1.14%,6.59%,0.18%
30007,"Broadwater County, Montana",13548,29.98%,164.1,547.3,,97.25%,1.18%,3.23%,2.76%,0.55%,0.15%
37043,"Clay County, North Carolina",22178,29.95%,144.4,482.2,,97.32%,2.27%,3.69%,1.44%,0.62%,0.09%
33015,"Rockingham County, New Hampshire",628352,29.92%,148.4,496,4.96%,96.21%,1.68%,3.40%,0.74%,2.91%,0.10%
